C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 124, col 26, Warning - ValueSet https://build.fhir.org/valueset-encounter-status.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Practitioner-MolicAVC-DoctorExample.json: line 30, col 12, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 31476, Warning - Rule cnl-0: 'Name should be usable as an identifier for the module by machine processing applications such as code generation' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 26260, Error - Unable to resolve resource with reference 'ICHOM' (STRUCTURE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 27562, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 27562, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 27300, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 27443, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 27472, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 27501, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 27530, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 27559, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 27928, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 27928, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 27666, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 27809, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 27838, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 27867, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 27896, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 27925, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 28296, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 28296, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 28034, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 28177, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 28206, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 28235, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 28264, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 28293, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 28709, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 28709, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 28447, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 28590, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 28619, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 28648, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 28677, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 28706, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 29120, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 29120, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 28858, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 29001, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 29030, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 29059, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 29088, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 29117, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 29618, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 29618, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 29356, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 29499, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 29528, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 29557, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 29586, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 29615, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 30082, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 30082, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 29819, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 29962, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 29991, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 30020, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 30049, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 30079, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 30527, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 30527, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 30260, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 30404, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 30434, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 30464, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 30494, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 30524, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-PROMIS10Questionnaire.json: line 1, col 30912, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
